Clock_Round,Service_Area,Bidder,bid_decision,No. of Blocks Selected,prov_win_bid,Provisionally Allocated Blocks at end of Clock Round,prov_rank
9,Gujarat,Telewings,Not Bid,0,224.84,4,1
9,Gujarat,Videocon,Not Bid,0,224.84,4,2
9,Gujarat,Vodafone,Not Bid,0,-,-,-
9,Haryana,Bharti,Not Bid,0,-,-,-
9,Haryana,Idea,Not Bid,0,-,-,-
9,Haryana,Telewings,Not Bid,0,-,-,-
9,Haryana,Videocon,Not Bid,0,46.52,4,1
9,Haryana,Vodafone,Not Bid,0,46.52,2,2
9,Himachal Pradesh,Bharti,Not Bid,0,-,-,-
9,Himachal Pradesh,Idea,Not Bid,0,-,-,-
9,Himachal Pradesh,Telewings,Not Bid,0,-,-,-
9,Himachal Pradesh,Videocon,Not Bid,0,-,-,-
9,Himachal Pradesh,Vodafone,Not Bid,0,7.78,1,1
9,Jammu & Kashmir,Bharti,Not Bid,0,-,-,-
9,Jammu & Kashmir,Idea,Not Bid,0,6.33,4,2
9,Jammu & Kashmir,Telewings,Not Bid,0,-,-,-
9,Jammu & Kashmir,Videocon,Not Bid,0,-,-,-
9,Jammu & Kashmir,Vodafone,Not Bid,0,6.33,2,1
9,Karnataka,Bharti,Not Bid,0,-,-,-
9,Karnataka,Idea,Not Bid,0,-,-,-
9,Karnataka,Telewings,Not Bid,0,-,-,-
9,Karnataka,Videocon,Not Bid,0,-,-,-
9,Karnataka,Vodafone,Not Bid,0,-,-,-
9,Kerala,Bharti,Not Bid,0,-,-,-
9,Kerala,Idea,Not Bid,0,-,-,-
9,Kerala,Telewings,Not Bid,0,-,-,-
9,Kerala,Videocon,Not Bid,0,-,-,-
9,Kerala,Vodafone,Not Bid,0,65.3,1,1
9,Kolkata,Bharti,Not Bid,0,-,-,-
9,Kolkata,Idea,Not Bid,0,113.72,4,1
9,Kolkata,Telewings,Not Bid,0,-,-,-
9,Kolkata,Videocon,Not Bid,0,-,-,-
9,Kolkata,Vodafone,Not Bid,0,-,-,-
9,Madhya Pradesh,Bharti,Not Bid,0,-,-,-
9,Madhya Pradesh,Idea,Not Bid,0,-,-,-
9,Madhya Pradesh,Telewings,Not Bid,0,-,-,-
9,Madhya Pradesh,Videocon,Not Bid,0,53.99,4,1
9,Madhya Pradesh,Vodafone,Not Bid,0,53.99,2,2
9,Maharashtra,Bharti,Not Bid,0,-,-,-
9,Maharashtra,Idea,Not Bid,0,-,-,-
9,Maharashtra,Telewings,Not Bid,0,262.81,4,1
9,Maharashtra,Videocon,Not Bid,0,-,-,-
9,Maharashtra,Vodafone,Not Bid,0,262.81,1,2
9,Mumbai,Bharti,Not Bid,0,-,-,-
9,Mumbai,Idea,Not Bid,0,-,-,-
9,Mumbai,Telewings,Not Bid,0,-,-,-
9,Mumbai,Videocon,Not Bid,0,-,-,-
9,Mumbai,Vodafone,Not Bid,0,-,-,-
9,North East,Bharti,Not Bid,0,-,-,-
9,North East,Idea,Not Bid,0,8.84,4,1
9,North East,Telewings,Not Bid,0,-,-,-
9,North East,Videocon,Not Bid,0,-,-,-
9,North East,Vodafone,Not Bid,0,8.84,2,2
9,Orissa,Bharti,Not Bid,0,-,-,-
9,Orissa,Idea,Not Bid,0,20.27,4,1
9,Orissa,Telewings,Not Bid,0,-,-,-
9,Orissa,Videocon,Not Bid,0,-,-,-
9,Orissa,Vodafone,Not Bid,0,20.27,2,2
9,Punjab,Bharti,Not Bid,0,-,-,-
9,Punjab,Idea,Not Bid,0,-,-,-
9,Punjab,Telewings,Not Bid,0,-,-,-
9,Punjab,Videocon,Not Bid,0,-,-,-
9,Punjab,Vodafone,Not Bid,0,67.28,1,1
9,Rajasthan,Bharti,Not Bid,0,-,-,-
9,Rajasthan,Idea,Not Bid,0,-,-,-
9,Rajasthan,Telewings,Not Bid,0,-,-,-
9,Rajasthan,Videocon,Not Bid,0,-,-,-
9,Rajasthan,Vodafone,Not Bid,0,-,-,-
9,Tamil Nadu,Bharti,Not Bid,0,-,-,-
9,Tamil Nadu,Idea,Not Bid,0,306.09,4,1
9,Tamil Nadu,Telewings,Not Bid,0,-,-,-
9,Tamil Nadu,Videocon,Not Bid,0,-,-,-
9,Tamil Nadu,Vodafone,Not Bid,0,-,-,-
9,Uttar Pradesh (East),Bharti,Not Bid,0,-,-,-
9,Uttar Pradesh (East),Idea,Not Bid,0,-,-,-
9,Uttar Pradesh (East),Telewings,Not Bid,0,76.17,4,2
9,Uttar Pradesh (East),Videocon,Not Bid,0,76.17,4,3
9,Uttar Pradesh (East),Vodafone,Not Bid,0,76.93,1,1
9,Uttar Pradesh (West),Bharti,Not Bid,0,-,-,-
9,Uttar Pradesh (West),Idea,Not Bid,0,-,-,-
9,Uttar Pradesh (West),Telewings,Not Bid,0,107.41,4,3
9,Uttar Pradesh (West),Videocon,Not Bid,0,107.41,4,2
9,Uttar Pradesh (West),Vodafone,Not Bid,0,107.41,2,1
9,West Bengal,Bharti,Not Bid,0,-,-,-
9,West Bengal,Idea,Not Bid,0,25.84,4,1
9,West Bengal,Telewings,Not Bid,0,-,-,-
9,West Bengal,Videocon,Not Bid,0,-,-,-
9,West Bengal,Vodafone,Not Bid,0,25.84,2,2
10,Andhra Pradesh,Bharti,Not Bid,0,-,-,-
10,Andhra Pradesh,Idea,Not Bid,0,-,-,-
10,Andhra Pradesh,Telewings,Not Bid,0,286.91,4,1
10,Andhra Pradesh,Videocon,Not Bid,0,-,-,-
10,Andhra Pradesh,Vodafone,Not Bid,0,-,-,-
10,Assam,Bharti,Not Bid,0,8.67,1,1
10,Assam,Idea,Not Bid,0,8.67,4,2
10,Assam,Telewings,Not Bid,0,-,-,-
10,Assam,Videocon,Not Bid,0,-,-,-
10,Assam,Vodafone,Not Bid,0,8.67,2,3
10,Bihar,Bharti,Not Bid,0,-,-,-
10,Bihar,Idea,Not Bid,0,44.65,2,2
10,Bihar,Telewings,Bid,4,46.43,4,1
10,Bihar,Videocon,Not Bid,0,44.65,4,3
10,Bihar,Vodafone,Not Bid,0,44.65,0,4
10,Delhi,Bharti,Not Bid,0,-,-,-
10,Delhi,Idea,Not Bid,0,-,-,-
10,Delhi,Telewings,Not Bid,0,-,-,-
10,Delhi,Videocon,Not Bid,0,-,-,-
10,Delhi,Vodafone,Not Bid,0,-,-,-
10,Gujarat,Bharti,Not Bid,0,-,-,-
10,Gujarat,Idea,Not Bid,0,-,-,-
10,Gujarat,Telewings,Not Bid,0,224.84,4,1
10,Gujarat,Videocon,Not Bid,0,224.84,4,2
10,Gujarat,Vodafone,Not Bid,0,-,-,-
10,Haryana,Bharti,Not Bid,0,-,-,-
10,Haryana,Idea,Not Bid,0,-,-,-
10,Haryana,Telewings,Not Bid,0,-,-,-
10,Haryana,Videocon,Not Bid,0,46.52,4,1
10,Haryana,Vodafone,Not Bid,0,46.52,2,2
10,Himachal Pradesh,Bharti,Not Bid,0,-,-,-
10,Himachal Pradesh,Idea,Not Bid,0,-,-,-
10,Himachal Pradesh,Telewings,Not Bid,0,-,-,-
10,Himachal Pradesh,Videocon,Not Bid,0,-,-,-
10,Himachal Pradesh,Vodafone,Not Bid,0,7.78,1,1
10,Jammu & Kashmir,Bharti,Not Bid,0,-,-,-
10,Jammu & Kashmir,Idea,Not Bid,0,6.33,4,2
10,Jammu & Kashmir,Telewings,Not Bid,0,-,-,-
10,Jammu & Kashmir,Videocon,Not Bid,0,-,-,-
10,Jammu & Kashmir,Vodafone,Not Bid,0,6.33,2,1
10,Karnataka,Bharti,Not Bid,0,-,-,-
10,Karnataka,Idea,Not Bid,0,-,-,-
10,Karnataka,Telewings,Not Bid,0,-,-,-
10,Karnataka,Videocon,Not Bid,0,-,-,-
10,Karnataka,Vodafone,Not Bid,0,-,-,-
10,Kerala,Bharti,Not Bid,0,-,-,-
10,Kerala,Idea,Not Bid,0,-,-,-
10,Kerala,Telewings,Not Bid,0,-,-,-
10,Kerala,Videocon,Not Bid,0,-,-,-
10,Kerala,Vodafone,Not Bid,0,65.3,1,1
10,Kolkata,Bharti,Not Bid,0,-,-,-
10,Kolkata,Idea,Not Bid,0,113.72,4,1
10,Kolkata,Telewings,Not Bid,0,-,-,-
10,Kolkata,Videocon,Not Bid,0,-,-,-
10,Kolkata,Vodafone,Not Bid,0,-,-,-
10,Madhya Pradesh,Bharti,Not Bid,0,-,-,-
10,Madhya Pradesh,Idea,Not Bid,0,-,-,-
10,Madhya Pradesh,Telewings,Not Bid,0,-,-,-
10,Madhya Pradesh,Videocon,Not Bid,0,53.99,4,1
10,Madhya Pradesh,Vodafone,Not Bid,0,53.99,2,2
10,Maharashtra,Bharti,Not Bid,0,-,-,-
10,Maharashtra,Idea,Not Bid,0,-,-,-
10,Maharashtra,Telewings,Not Bid,0,262.81,4,1
10,Maharashtra,Videocon,Not Bid,0,-,-,-
10,Maharashtra,Vodafone,Not Bid,0,262.81,1,2
10,Mumbai,Bharti,Not Bid,0,-,-,-
10,Mumbai,Idea,Not Bid,0,-,-,-
10,Mumbai,Telewings,Not Bid,0,-,-,-
10,Mumbai,Videocon,Not Bid,0,-,-,-
10,Mumbai,Vodafone,Not Bid,0,-,-,-
10,North East,Bharti,Not Bid,0,-,-,-
10,North East,Idea,Not Bid,0,8.84,4,1
10,North East,Telewings,Not Bid,0,-,-,-
10,North East,Videocon,Not Bid,0,-,-,-
10,North East,Vodafone,Not Bid,0,8.84,2,2
10,Orissa,Bharti,Not Bid,0,-,-,-
10,Orissa,Idea,Not Bid,0,20.27,4,1
10,Orissa,Telewings,Not Bid,0,-,-,-
10,Orissa,Videocon,Not Bid,0,-,-,-
10,Orissa,Vodafone,Not Bid,0,20.27,2,2
10,Punjab,Bharti,Not Bid,0,-,-,-
10,Punjab,Idea,Not Bid,0,-,-,-
10,Punjab,Telewings,Not Bid,0,-,-,-
10,Punjab,Videocon,Not Bid,0,-,-,-
10,Punjab,Vodafone,Not Bid,0,67.28,1,1
10,Rajasthan,Bharti,Not Bid,0,-,-,-
10,Rajasthan,Idea,Not Bid,0,-,-,-
10,Rajasthan,Telewings,Not Bid,0,-,-,-
10,Rajasthan,Videocon,Not Bid,0,-,-,-
10,Rajasthan,Vodafone,Not Bid,0,-,-,-
10,Tamil Nadu,Bharti,Not Bid,0,-,-,-
10,Tamil Nadu,Idea,Not Bid,0,306.09,4,1
10,Tamil Nadu,Telewings,Not Bid,0,-,-,-
10,Tamil Nadu,Videocon,Not Bid,0,-,-,-
10,Tamil Nadu,Vodafone,Not Bid,0,-,-,-
10,Uttar Pradesh (East),Bharti,Not Bid,0,-,-,-
10,Uttar Pradesh (East),Idea,Not Bid,0,-,-,-
10,Uttar Pradesh (East),Telewings,Not Bid,0,76.17,4,2
10,Uttar Pradesh (East),Videocon,Not Bid,0,76.17,4,3
10,Uttar Pradesh (East),Vodafone,Not Bid,0,76.93,1,1
10,Uttar Pradesh (West),Bharti,Not Bid,0,-,-,-
10,Uttar Pradesh (West),Idea,Not Bid,0,-,-,-
10,Uttar Pradesh (West),Telewings,Not Bid,0,107.41,4,3
10,Uttar Pradesh (West),Videocon,Not Bid,0,107.41,4,2
10,Uttar Pradesh (West),Vodafone,Not Bid,0,107.41,2,1
10,West Bengal,Bharti,Not Bid,0,-,-,-
10,West Bengal,Idea,Not Bid,0,25.84,4,1
10,West Bengal,Telewings,Not Bid,0,-,-,-
10,West Bengal,Videocon,Not Bid,0,-,-,-
10,West Bengal,Vodafone,Not Bid,0,25.84,2,2
11,Andhra Pradesh,Bharti,Not Bid,0,-,-,-
11,Andhra Pradesh,Idea,Not Bid,0,-,-,-
11,Andhra Pradesh,Telewings,Not Bid,0,286.91,4,1
11,Andhra Pradesh,Videocon,Not Bid,0,-,-,-
11,Andhra Pradesh,Vodafone,Not Bid,0,-,-,-
11,Assam,Bharti,Not Bid,0,8.67,1,1
11,Assam,Idea,Not Bid,0,8.67,4,2
11,Assam,Telewings,Not Bid,0,-,-,-
11,Assam,Videocon,Not Bid,0,-,-,-
11,Assam,Vodafone,Not Bid,0,8.67,2,3
11,Bihar,Bharti,Not Bid,0,-,-,-
11,Bihar,Idea,Not Bid,0,44.65,2,3
11,Bihar,Telewings,Not Bid,0,46.43,4,2
11,Bihar,Videocon,Not Bid,0,44.65,0,4
11,Bihar,Vodafone,Bid,2,46.43,2,1
11,Delhi,Bharti,Not Bid,0,-,-,-
11,Delhi,Idea,Not Bid,0,-,-,-
11,Delhi,Telewings,Not Bid,0,-,-,-
11,Delhi,Videocon,Not Bid,0,-,-,-
11,Delhi,Vodafone,Not Bid,0,-,-,-
11,Gujarat,Bharti,Not Bid,0,-,-,-
11,Gujarat,Idea,Not Bid,0,-,-,-
11,Gujarat,Telewings,Not Bid,0,224.84,4,1
11,Gujarat,Videocon,Not Bid,0,224.84,4,2
11,Gujarat,Vodafone,Not Bid,0,-,-,-
11,Haryana,Bharti,Not Bid,0,-,-,-
11,Haryana,Idea,Not Bid,0,-,-,-
11,Haryana,Telewings,Not Bid,0,-,-,-
11,Haryana,Videocon,Not Bid,0,46.52,4,1
11,Haryana,Vodafone,Not Bid,0,46.52,2,2
11,Himachal Pradesh,Bharti,Not Bid,0,-,-,-
11,Himachal Pradesh,Idea,Not Bid,0,-,-,-
11,Himachal Pradesh,Telewings,Not Bid,0,-,-,-
11,Himachal Pradesh,Videocon,Not Bid,0,-,-,-
11,Himachal Pradesh,Vodafone,Not Bid,0,7.78,1,1
11,Jammu & Kashmir,Bharti,Not Bid,0,-,-,-
11,Jammu & Kashmir,Idea,Not Bid,0,6.33,4,2
11,Jammu & Kashmir,Telewings,Not Bid,0,-,-,-
11,Jammu & Kashmir,Videocon,Not Bid,0,-,-,-
11,Jammu & Kashmir,Vodafone,Not Bid,0,6.33,2,1
11,Karnataka,Bharti,Not Bid,0,-,-,-
11,Karnataka,Idea,Not Bid,0,-,-,-
11,Karnataka,Telewings,Not Bid,0,-,-,-
11,Karnataka,Videocon,Not Bid,0,-,-,-
11,Karnataka,Vodafone,Not Bid,0,-,-,-
11,Kerala,Bharti,Not Bid,0,-,-,-
11,Kerala,Idea,Not Bid,0,-,-,-
11,Kerala,Telewings,Not Bid,0,-,-,-
11,Kerala,Videocon,Not Bid,0,-,-,-
11,Kerala,Vodafone,Not Bid,0,65.3,1,1
11,Kolkata,Bharti,Not Bid,0,-,-,-
11,Kolkata,Idea,Not Bid,0,113.72,4,1
11,Kolkata,Telewings,Not Bid,0,-,-,-
11,Kolkata,Videocon,Not Bid,0,-,-,-
11,Kolkata,Vodafone,Not Bid,0,-,-,-
11,Madhya Pradesh,Bharti,Not Bid,0,-,-,-
11,Madhya Pradesh,Idea,Not Bid,0,-,-,-
11,Madhya Pradesh,Telewings,Not Bid,0,-,-,-
11,Madhya Pradesh,Videocon,Not Bid,0,53.99,4,1
11,Madhya Pradesh,Vodafone,Not Bid,0,53.99,2,2
11,Maharashtra,Bharti,Not Bid,0,-,-,-
11,Maharashtra,Idea,Not Bid,0,-,-,-
11,Maharashtra,Telewings,Not Bid,0,262.81,4,1
11,Maharashtra,Videocon,Not Bid,0,-,-,-
11,Maharashtra,Vodafone,Not Bid,0,262.81,1,2
11,Mumbai,Bharti,Not Bid,0,-,-,-
11,Mumbai,Idea,Not Bid,0,-,-,-
11,Mumbai,Telewings,Not Bid,0,-,-,-
11,Mumbai,Videocon,Not Bid,0,-,-,-
11,Mumbai,Vodafone,Not Bid,0,-,-,-
11,North East,Bharti,Not Bid,0,-,-,-
11,North East,Idea,Not Bid,0,8.84,4,1
11,North East,Telewings,Not Bid,0,-,-,-
11,North East,Videocon,Not Bid,0,-,-,-
11,North East,Vodafone,Not Bid,0,8.84,2,2
11,Orissa,Bharti,Not Bid,0,-,-,-
11,Orissa,Idea,Not Bid,0,20.27,4,1
11,Orissa,Telewings,Not Bid,0,-,-,-
11,Orissa,Videocon,Not Bid,0,-,-,-
11,Orissa,Vodafone,Not Bid,0,20.27,2,2
11,Punjab,Bharti,Not Bid,0,-,-,-
11,Punjab,Idea,Not Bid,0,-,-,-
11,Punjab,Telewings,Not Bid,0,-,-,-
11,Punjab,Videocon,Not Bid,0,-,-,-
11,Punjab,Vodafone,Not Bid,0,67.28,1,1
11,Rajasthan,Bharti,Not Bid,0,-,-,-
11,Rajasthan,Idea,Not Bid,0,-,-,-
11,Rajasthan,Telewings,Not Bid,0,-,-,-
11,Rajasthan,Videocon,Not Bid,0,-,-,-
11,Rajasthan,Vodafone,Not Bid,0,-,-,-
11,Tamil Nadu,Bharti,Not Bid,0,-,-,-
11,Tamil Nadu,Idea,Not Bid,0,306.09,4,1
11,Tamil Nadu,Telewings,Not Bid,0,-,-,-
11,Tamil Nadu,Videocon,Not Bid,0,-,-,-
11,Tamil Nadu,Vodafone,Not Bid,0,-,-,-
11,Uttar Pradesh (East),Bharti,Not Bid,0,-,-,-
11,Uttar Pradesh (East),Idea,Not Bid,0,-,-,-
11,Uttar Pradesh (East),Telewings,Not Bid,0,76.17,4,2
11,Uttar Pradesh (East),Videocon,Not Bid,0,76.17,4,3
11,Uttar Pradesh (East),Vodafone,Not Bid,0,76.93,1,1
11,Uttar Pradesh (West),Bharti,Not Bid,0,-,-,-
11,Uttar Pradesh (West),Idea,Not Bid,0,-,-,-
11,Uttar Pradesh (West),Telewings,Not Bid,0,107.41,4,3
11,Uttar Pradesh (West),Videocon,Not Bid,0,107.41,4,2
11,Uttar Pradesh (West),Vodafone,Not Bid,0,107.41,2,1
11,West Bengal,Bharti,Not Bid,0,-,-,-
11,West Bengal,Idea,Not Bid,0,25.84,4,1
11,West Bengal,Telewings,Not Bid,0,-,-,-
11,West Bengal,Videocon,Not Bid,0,-,-,-
11,West Bengal,Vodafone,Not Bid,0,25.84,2,2
12,Andhra Pradesh,Bharti,Not Bid,0,-,-,-
12,Andhra Pradesh,Idea,Not Bid,0,-,-,-
12,Andhra Pradesh,Telewings,Not Bid,0,286.91,4,1
12,Andhra Pradesh,Videocon,Not Bid,0,-,-,-
12,Andhra Pradesh,Vodafone,Not Bid,0,-,-,-
12,Assam,Bharti,Not Bid,0,8.67,1,1
12,Assam,Idea,Not Bid,0,8.67,4,2
12,Assam,Telewings,Not Bid,0,-,-,-
12,Assam,Videocon,Not Bid,0,-,-,-
12,Assam,Vodafone,Not Bid,0,8.67,2,3
12,Bihar,Bharti,Not Bid,0,-,-,-
12,Bihar,Idea,Not Bid,0,44.65,-,-
12,Bihar,Telewings,Not Bid,0,46.43,4,3
12,Bihar,Videocon,Bid,4,46.43,4,1
12,Bihar,Vodafone,Not Bid,0,46.43,2,2
12,Delhi,Bharti,Not Bid,0,-,-,-
12,Delhi,Idea,Not Bid,0,-,-,-
12,Delhi,Telewings,Not Bid,0,-,-,-
12,Delhi,Videocon,Not Bid,0,-,-,-
12,Delhi,Vodafone,Not Bid,0,-,-,-
12,Gujarat,Bharti,Not Bid,0,-,-,-
12,Gujarat,Idea,Not Bid,0,-,-,-
12,Gujarat,Telewings,Not Bid,0,224.84,4,1
12,Gujarat,Videocon,Not Bid,0,224.84,4,2
12,Gujarat,Vodafone,Not Bid,0,-,-,-
12,Haryana,Bharti,Not Bid,0,-,-,-
12,Haryana,Idea,Not Bid,0,-,-,-
12,Haryana,Telewings,Not Bid,0,-,-,-
12,Haryana,Videocon,Not Bid,0,46.52,4,1
12,Haryana,Vodafone,Not Bid,0,46.52,2,2
12,Himachal Pradesh,Bharti,Not Bid,0,-,-,-
12,Himachal Pradesh,Idea,Not Bid,0,-,-,-
12,Himachal Pradesh,Telewings,Not Bid,0,-,-,-
12,Himachal Pradesh,Videocon,Not Bid,0,-,-,-
12,Himachal Pradesh,Vodafone,Not Bid,0,7.78,1,1
12,Jammu & Kashmir,Bharti,Not Bid,0,-,-,-
12,Jammu & Kashmir,Idea,Not Bid,0,6.33,4,2
12,Jammu & Kashmir,Telewings,Not Bid,0,-,-,-
12,Jammu & Kashmir,Videocon,Not Bid,0,-,-,-
12,Jammu & Kashmir,Vodafone,Not Bid,0,6.33,2,1
12,Karnataka,Bharti,Not Bid,0,-,-,-
12,Karnataka,Idea,Not Bid,0,-,-,-
12,Karnataka,Telewings,Not Bid,0,-,-,-
12,Karnataka,Videocon,Not Bid,0,-,-,-
12,Karnataka,Vodafone,Not Bid,0,-,-,-
12,Kerala,Bharti,Not Bid,0,-,-,-
12,Kerala,Idea,Not Bid,0,-,-,-
12,Kerala,Telewings,Not Bid,0,-,-,-
12,Kerala,Videocon,Not Bid,0,-,-,-
12,Kerala,Vodafone,Not Bid,0,65.3,1,1
12,Kolkata,Bharti,Not Bid,0,-,-,-
12,Kolkata,Idea,Not Bid,0,113.72,4,1
12,Kolkata,Telewings,Not Bid,0,-,-,-
12,Kolkata,Videocon,Not Bid,0,-,-,-
12,Kolkata,Vodafone,Not Bid,0,-,-,-
12,Madhya Pradesh,Bharti,Not Bid,0,-,-,-
12,Madhya Pradesh,Idea,Not Bid,0,-,-,-
12,Madhya Pradesh,Telewings,Not Bid,0,-,-,-
12,Madhya Pradesh,Videocon,Not Bid,0,53.99,4,1
12,Madhya Pradesh,Vodafone,Not Bid,0,53.99,2,2
12,Maharashtra,Bharti,Not Bid,0,-,-,-
12,Maharashtra,Idea,Not Bid,0,-,-,-
12,Maharashtra,Telewings,Not Bid,0,262.81,4,1
12,Maharashtra,Videocon,Not Bid,0,-,-,-
12,Maharashtra,Vodafone,Not Bid,0,262.81,1,2
12,Mumbai,Bharti,Not Bid,0,-,-,-
12,Mumbai,Idea,Not Bid,0,-,-,-
12,Mumbai,Telewings,Not Bid,0,-,-,-
12,Mumbai,Videocon,Not Bid,0,-,-,-
12,Mumbai,Vodafone,Not Bid,0,-,-,-
12,North East,Bharti,Not Bid,0,-,-,-
12,North East,Idea,Not Bid,0,8.84,4,1
12,North East,Telewings,Not Bid,0,-,-,-
12,North East,Videocon,Not Bid,0,-,-,-
12,North East,Vodafone,Not Bid,0,8.84,2,2
12,Orissa,Bharti,Not Bid,0,-,-,-
12,Orissa,Idea,Not Bid,0,20.27,4,1
12,Orissa,Telewings,Not Bid,0,-,-,-
12,Orissa,Videocon,Not Bid,0,-,-,-
12,Orissa,Vodafone,Not Bid,0,20.27,2,2
12,Punjab,Bharti,Not Bid,0,-,-,-
12,Punjab,Idea,Not Bid,0,-,-,-
12,Punjab,Telewings,Not Bid,0,-,-,-
12,Punjab,Videocon,Not Bid,0,-,-,-
12,Punjab,Vodafone,Not Bid,0,67.28,1,1
12,Rajasthan,Bharti,Not Bid,0,-,-,-
12,Rajasthan,Idea,Not Bid,0,-,-,-
12,Rajasthan,Telewings,Not Bid,0,-,-,-
12,Rajasthan,Videocon,Not Bid,0,-,-,-
12,Rajasthan,Vodafone,Not Bid,0,-,-,-
12,Tamil Nadu,Bharti,Not Bid,0,-,-,-
12,Tamil Nadu,Idea,Not Bid,0,306.09,4,1
12,Tamil Nadu,Telewings,Not Bid,0,-,-,-
12,Tamil Nadu,Videocon,Not Bid,0,-,-,-
12,Tamil Nadu,Vodafone,Not Bid,0,-,-,-
12,Uttar Pradesh (East),Bharti,Not Bid,0,-,-,-
12,Uttar Pradesh (East),Idea,Not Bid,0,-,-,-
12,Uttar Pradesh (East),Telewings,Not Bid,0,76.17,4,2
12,Uttar Pradesh (East),Videocon,Not Bid,0,76.17,4,3
12,Uttar Pradesh (East),Vodafone,Not Bid,0,76.93,1,1
12,Uttar Pradesh (West),Bharti,Not Bid,0,-,-,-
12,Uttar Pradesh (West),Idea,Not Bid,0,-,-,-
12,Uttar Pradesh (West),Telewings,Not Bid,0,107.41,4,3
12,Uttar Pradesh (West),Videocon,Not Bid,0,107.41,4,2
12,Uttar Pradesh (West),Vodafone,Not Bid,0,107.41,2,1
12,West Bengal,Bharti,Not Bid,0,-,-,-
12,West Bengal,Idea,Not Bid,0,25.84,4,1
12,West Bengal,Telewings,Not Bid,0,-,-,-
12,West Bengal,Videocon,Not Bid,0,-,-,-
12,West Bengal,Vodafone,Not Bid,0,25.84,2,2
13,Andhra Pradesh,Bharti,Not Bid,0,-,-,-
13,Andhra Pradesh,Idea,Not Bid,0,-,-,-
13,Andhra Pradesh,Telewings,Not Bid,0,286.91,4,1
13,Andhra Pradesh,Videocon,Not Bid,0,-,-,-
13,Andhra Pradesh,Vodafone,Not Bid,0,-,-,-
13,Assam,Bharti,Not Bid,0,8.67,1,1
13,Assam,Idea,Not Bid,0,8.67,4,2
13,Assam,Telewings,Not Bid,0,-,-,-
13,Assam,Videocon,Not Bid,0,-,-,-
13,Assam,Vodafone,Not Bid,0,8.67,2,3
13,Bihar,Bharti,Not Bid,0,-,-,-
13,Bihar,Idea,Bid,1,47.35,1,1
13,Bihar,Telewings,Not Bid,0,46.43,4,4
13,Bihar,Videocon,Not Bid,0,46.43,4,2
13,Bihar,Vodafone,Not Bid,0,46.43,2,3
13,Delhi,Bharti,Not Bid,0,-,-,-
13,Delhi,Idea,Not Bid,0,-,-,-
13,Delhi,Telewings,Not Bid,0,-,-,-
13,Delhi,Videocon,Not Bid,0,-,-,-
13,Delhi,Vodafone,Not Bid,0,-,-,-
13,Gujarat,Bharti,Not Bid,0,-,-,-
13,Gujarat,Idea,Not Bid,0,-,-,-
13,Gujarat,Telewings,Not Bid,0,224.84,4,1
13,Gujarat,Videocon,Not Bid,0,224.84,4,2
13,Gujarat,Vodafone,Not Bid,0,-,-,-
13,Haryana,Bharti,Not Bid,0,-,-,-
13,Haryana,Idea,Not Bid,0,-,-,-
13,Haryana,Telewings,Not Bid,0,-,-,-
13,Haryana,Videocon,Not Bid,0,46.52,4,1
13,Haryana,Vodafone,Not Bid,0,46.52,2,2
13,Himachal Pradesh,Bharti,Not Bid,0,-,-,-
13,Himachal Pradesh,Idea,Not Bid,0,-,-,-
13,Himachal Pradesh,Telewings,Not Bid,0,-,-,-
13,Himachal Pradesh,Videocon,Not Bid,0,-,-,-
13,Himachal Pradesh,Vodafone,Not Bid,0,7.78,1,1
13,Jammu & Kashmir,Bharti,Not Bid,0,-,-,-
13,Jammu & Kashmir,Idea,Not Bid,0,6.33,4,2
13,Jammu & Kashmir,Telewings,Not Bid,0,-,-,-
13,Jammu & Kashmir,Videocon,Not Bid,0,-,-,-
13,Jammu & Kashmir,Vodafone,Not Bid,0,6.33,2,1
13,Karnataka,Bharti,Not Bid,0,-,-,-
13,Karnataka,Idea,Not Bid,0,-,-,-
13,Karnataka,Telewings,Not Bid,0,-,-,-
13,Karnataka,Videocon,Not Bid,0,-,-,-
13,Karnataka,Vodafone,Not Bid,0,-,-,-
13,Kerala,Bharti,Not Bid,0,-,-,-
13,Kerala,Idea,Not Bid,0,-,-,-
13,Kerala,Telewings,Not Bid,0,-,-,-
13,Kerala,Videocon,Not Bid,0,-,-,-
13,Kerala,Vodafone,Not Bid,0,65.3,1,1
13,Kolkata,Bharti,Not Bid,0,-,-,-
13,Kolkata,Idea,Not Bid,0,113.72,4,1
13,Kolkata,Telewings,Not Bid,0,-,-,-
13,Kolkata,Videocon,Not Bid,0,-,-,-
13,Kolkata,Vodafone,Not Bid,0,-,-,-
13,Madhya Pradesh,Bharti,Not Bid,0,-,-,-
13,Madhya Pradesh,Idea,Not Bid,0,-,-,-
13,Madhya Pradesh,Telewings,Not Bid,0,-,-,-
13,Madhya Pradesh,Videocon,Not Bid,0,53.99,4,1
13,Madhya Pradesh,Vodafone,Not Bid,0,53.99,2,2
13,Maharashtra,Bharti,Not Bid,0,-,-,-
13,Maharashtra,Idea,Not Bid,0,-,-,-
13,Maharashtra,Telewings,Not Bid,0,262.81,4,1
13,Maharashtra,Videocon,Not Bid,0,-,-,-
13,Maharashtra,Vodafone,Not Bid,0,262.81,1,2
13,Mumbai,Bharti,Not Bid,0,-,-,-
13,Mumbai,Idea,Not Bid,0,-,-,-
